,text
1645,"This gets me to ask questions.  The wealthy like Marc Zuckerburg have $60 to a $100 billion worth of stock after 40 years of life or so, and most of the increase in value came in stock. Maybe they have $500 million worth of real estate. So they are able to get loans based off the market value of the stock, and use that to pay for their electricity, food, vehicles, fuel or vehicles, clothing, vacations and more, and I could guess they are required to pay an interest rate of between 1-5%. Most people have to pay loans in cash as well as the interest. Are the wealthiest allowed to pay their loans in shares of stock?  If they are required to pay in cash, I am guessing they might pay the loan with the cash income they have, or they have to sell a certain quantity of shares to pay off the loans. It would be interesting to see a detailed example of this. For someone who does not inherit wealth, it is a different kind of goal to want to acquire shares of stock for the sake of taking out loans to pay living expenses to avoid paying income taxes."
1646,"The changes should absolutely be race blind. If John is right and the most prominent areas to tackle are black areas, they have nothing to worry about, they will get the treatment. The areas that need to be treated should be quantifiable by the number of people effected and how bad the pollution/waste level is, not by race. Period"
1647,"That&#39;s what you get if you add a heartless Capitalistic US company and a Corrupt government. That&#39;s the general narrative in Latin America, Africa and as far as Papua New Guinea."
1648,"I have a friend, he&#39;s 40, has job experience. Got laid off last April, hasn&#39;t been able to gainful work for over a year. His wife stays at home to take care of three young children. VERY sad times."
1649,Corrie Ten Boom (of The Hiding Place) also was betrayed by her own people.
1650,"Yeah my girl just said “ig i dont love you anymore”, 4years down the drain, im currently 20, we helped each other with exams, grew together and taught each other stuff. I thought she was different, planned a future together, she told me everything physically possible that you wanna hear, promises made. Ticked all the green flags.<br><br>And then she became a people pleaser even though those same people used to make her cry to me for hours due to their snakyness, she would then treat me differently and hurt me even though I was hurt, id help her get over her issues and make her feel better before myself. These friends she wont see in a years time and she also used to say she cant wait to get away from them.<br><br><br>Im thinking it was more of an impulse comment, she wasnt thinking, she just is stressed trying to cram her friends into, exam revision and family, so she cut me off not realising how dumb it was as she cut off the only person who unconditionally loved her even when her parents scolded her for her sisters doings. Swapped me out for people who’re only there for her when they want to talk."
1651,Guys I just found out that my ex has a new girlfriend 😭 I am so sad
1652,"Key word… ILLEGAL… that is what all these people are not understanding, do it the right way , like in every other country, earn your citizenship! Why is this so difficult to understand, Im literally at a loss of words. My mom did it, and I’m millions of others did it. If you want something, earn it, fight for it! Things are just not “handed “ to you because you say yiu deserve it."
1653,"For these money you could get this degree for free  without study if you would be rich german student...It&#39;s classic german fraud as classic &quot;Ausbildung&quot; scheme in Germany...Even many germans  have many degrees, because of promising jobs,but then they canfind any...💩👎"
1654,"I even thought about writing a rant book about my parents abuse because it wasnt obvious; it was cruelty, but played off as jokes.  It was &quot;tough love&quot; so &quot;im allowed to say this because i care about you and i want you to be self aware&quot;<br>Ie &quot;youre ugly.  Youre too skinny.  No ones gonna want you.&quot; And now its always about my weight.  &quot;Youre losing weight?  No?&quot;<br><br>My dad literally stood outside my bedroom with a halloween mask and let me and my sister scream and cry in confusion for our &quot;dad&quot; while we thought some strange person was going to kill us, and then he gaslit us into thinking we hallucinated it.<br>Even now, 12 years later, he wont acknowledge it.  &quot;It was a joke.&quot;  &quot;No i never did that.&quot;"
1655,BLACK FATIGUED!!!!!!!!<br><br>Make WOODCHIPPERS great again!!!!!!!!
1656,"Tell me how democrats and republicans, spending is out of control"
1657,currenty 17 years old. I am working on an web development internship it was the best shot for me to gain pratical skill. Just completed my first ever real project that&#39;s gonna used by someone. I&#39;m gonna get hired soon but i am also very confused and scared of what&#39;s comming in the future. Not sure if i can make something big on this industry.
